Symbol,Name
ISRYX,"AB Cap Fund, Inc: AB International Strategic Core Portfolio; Advisor Class Shares"
ISARX,"AB Cap Fund, Inc: AB International Strategic Core Portfolio; Class A Shares"
ISCRX,"AB Cap Fund, Inc: AB International Strategic Core Portfolio; Class C Shares"
LSYMX,"AB Cap Fund, Inc: AB Long/Short Multi-Manager Fund; Advisor Class Shares"
LSAMX,"AB Cap Fund, Inc: AB Long/Short Multi-Manager Fund; Class A Shares"
LSCMX,"AB Cap Fund, Inc: AB Long/Short Multi-Manager Fund; Class C Shares"
LSIMX,"AB Cap Fund, Inc: AB Long/Short Multi-Manager Fund; Class I Shares"
LSKMX,"AB Cap Fund, Inc: AB Long/Short Multi-Manager Fund; Class K Shares"
LSRMX,"AB Cap Fund, Inc: AB Long/Short Multi-Manager Fund; Class R Shares"
LSZMX,"AB Cap Fund, Inc: AB Long/Short Multi-Manager Fund; Class Z Shares"
ALTYX,"AB Cap Fund, Inc: AB Multi-Manager Alternative Strategies Fund; Advisor Class Shares"
ALATX,"AB Cap Fund, Inc: AB Multi-Manager Alternative Strategies Fund; Class A Shares"
ALCTX,"AB Cap Fund, Inc: AB Multi-Manager Alternative Strategies Fund; Class C Shares"
ALTIX,"AB Cap Fund, Inc: AB Multi-Manager Alternative Strategies Fund; Class I Shares"
ALTKX,"AB Cap Fund, Inc: AB Multi-Manager Alternative Strategies Fund; Class K Shares"
ALTRX,"AB Cap Fund, Inc: AB Multi-Manager Alternative Strategies Fund; Class R Shares"
ALTZX,"AB Cap Fund, Inc: AB Multi-Manager Alternative Strategies Fund; Class Z Shares"
TDBYX,"AB Cap Fund, Inc: AB Multi-Manager Select 2010 Fund; Advisor Class Shares"
TDBAX,"AB Cap Fund, Inc: AB Multi-Manager Select 2010 Fund; Class A Shares"
TDBCX,"AB Cap Fund, Inc: AB Multi-Manager Select 2010 Fund; Class C Shares"
TDIBX,"AB Cap Fund, Inc: AB Multi-Manager Select 2010 Fund; Class I Shares"
TDBKX,"AB Cap Fund, Inc: AB Multi-Manager Select 2010 Fund; Class K Shares"
TDBRX,"AB Cap Fund, Inc: AB Multi-Manager Select 2010 Fund; Class R Shares"
TDBZX,"AB Cap Fund, Inc: AB Multi-Manager Select 2010 Fund; Class Z Shares"
TDCYX,"AB Cap Fund, Inc: AB Multi-Manager Select 2015 Fund; Advisor Class Shares"
TDCAX,"AB Cap Fund, Inc: AB Multi-Manager Select 2015 Fund; Class A Shares"
TDCCX,"AB Cap Fund, Inc: AB Multi-Manager Select 2015 Fund; Class C Shares"
TDCIX,"AB Cap Fund, Inc: AB Multi-Manager Select 2015 Fund; Class I Shares"
TDCKX,"AB Cap Fund, Inc: AB Multi-Manager Select 2015 Fund; Class K Shares"
TDCRX,"AB Cap Fund, Inc: AB Multi-Manager Select 2015 Fund; Class R Shares"
TDCZX,"AB Cap Fund, Inc: AB Multi-Manager Select 2015 Fund; Class Z Shares"
TDDYX,"AB Cap Fund, Inc: AB Multi-Manager Select 2020 Fund; Advisor Class Shares"
TDDAX,"AB Cap Fund, Inc: AB Multi-Manager Select 2020 Fund; Class A Shares"
TDDCX,"AB Cap Fund, Inc: AB Multi-Manager Select 2020 Fund; Class C Shares"
TDDIX,"AB Cap Fund, Inc: AB Multi-Manager Select 2020 Fund; Class I Shares"
TDDKX,"AB Cap Fund, Inc: AB Multi-Manager Select 2020 Fund; Class K Shares"
TDDRX,"AB Cap Fund, Inc: AB Multi-Manager Select 2020 Fund; Class R Shares"
TDDZX,"AB Cap Fund, Inc: AB Multi-Manager Select 2020 Fund; Class Z Shares"
TDGYX,"AB Cap Fund, Inc: AB Multi-Manager Select 2025 Fund; Advisor Class Shares"
TDAGX,"AB Cap Fund, Inc: AB Multi-Manager Select 2025 Fund; Class A Shares"
TDCGX,"AB Cap Fund, Inc: AB Multi-Manager Select 2025 Fund; Class C Shares"
TDIGX,"AB Cap Fund, Inc: AB Multi-Manager Select 2025 Fund; Class I Shares"
TDGKX,"AB Cap Fund, Inc: AB Multi-Manager Select 2025 Fund; Class K Shares"
TDGRX,"AB Cap Fund, Inc: AB Multi-Manager Select 2025 Fund; Class R Shares"
TDGZX,"AB Cap Fund, Inc: AB Multi-Manager Select 2025 Fund; Class Z Shares"
TDYHX,"AB Cap Fund, Inc: AB Multi-Manager Select 2030 Fund; Advisor Class Shares"
TDHAX,"AB Cap Fund, Inc: AB Multi-Manager Select 2030 Fund; Class A Shares"
TDHCX,"AB Cap Fund, Inc: AB Multi-Manager Select 2030 Fund; Class C Shares"
TDIHX,"AB Cap Fund, Inc: AB Multi-Manager Select 2030 Fund; Class I Shares"
TDHKX,"AB Cap Fund, Inc: AB Multi-Manager Select 2030 Fund; Class K Shares"
TDHRX,"AB Cap Fund, Inc: AB Multi-Manager Select 2030 Fund; Class R Shares"
TDHZX,"AB Cap Fund, Inc: AB Multi-Manager Select 2030 Fund; Class Z Shares"
TDMYX,"AB Cap Fund, Inc: AB Multi-Manager Select 2035 Fund; Advisor Class Shares"
TDMAX,"AB Cap Fund, Inc: AB Multi-Manager Select 2035 Fund; Class A Shares"
TDMCX,"AB Cap Fund, Inc: AB Multi-Manager Select 2035 Fund; Class C Shares"
TDIMX,"AB Cap Fund, Inc: AB Multi-Manager Select 2035 Fund; Class I Shares"
TDMKX,"AB Cap Fund, Inc: AB Multi-Manager Select 2035 Fund; Class K Shares"
TDRMX,"AB Cap Fund, Inc: AB Multi-Manager Select 2035 Fund; Class R Shares"
TDMZX,"AB Cap Fund, Inc: AB Multi-Manager Select 2035 Fund; Class Z Shares"
TDJYX,"AB Cap Fund, Inc: AB Multi-Manager Select 2040 Fund; Advisor Class Shares"
TDJAX,"AB Cap Fund, Inc: AB Multi-Manager Select 2040 Fund; Class A Shares"
TDJCX,"AB Cap Fund, Inc: AB Multi-Manager Select 2040 Fund; Class C Shares"
TDJIX,"AB Cap Fund, Inc: AB Multi-Manager Select 2040 Fund; Class I Shares"
TDJKX,"AB Cap Fund, Inc: AB Multi-Manager Select 2040 Fund; Class K Shares"
TDJRX,"AB Cap Fund, Inc: AB Multi-Manager Select 2040 Fund; Class R Shares"
TDJZX,"AB Cap Fund, Inc: AB Multi-Manager Select 2040 Fund; Class Z Shares"
TDNYX,"AB Cap Fund, Inc: AB Multi-Manager Select 2045 Fund; Advisor Class Shares"
TDNAX,"AB Cap Fund, Inc: AB Multi-Manager Select 2045 Fund; Class A Shares"
TDNCX,"AB Cap Fund, Inc: AB Multi-Manager Select 2045 Fund; Class C Shares"
TDNIX,"AB Cap Fund, Inc: AB Multi-Manager Select 2045 Fund; Class I Shares"
TDNKX,"AB Cap Fund, Inc: AB Multi-Manager Select 2045 Fund; Class K Shares"
TDNRX,"AB Cap Fund, Inc: AB Multi-Manager Select 2045 Fund; Class R Shares"
TDNZX,"AB Cap Fund, Inc: AB Multi-Manager Select 2045 Fund; Class Z Shares"
TDLYX,"AB Cap Fund, Inc: AB Multi-Manager Select 2050 Fund; Advisor Class Shares"
TDLAX,"AB Cap Fund, Inc: AB Multi-Manager Select 2050 Fund; Class A Shares"
TDCLX,"AB Cap Fund, Inc: AB Multi-Manager Select 2050 Fund; Class C Shares"
TDLIX,"AB Cap Fund, Inc: AB Multi-Manager Select 2050 Fund; Class I Shares"
TDLKX,"AB Cap Fund, Inc: AB Multi-Manager Select 2050 Fund; Class K Shares"
TDLRX,"AB Cap Fund, Inc: AB Multi-Manager Select 2050 Fund; Class R Shares"
TDLZX,"AB Cap Fund, Inc: AB Multi-Manager Select 2050 Fund; Class Z Shares"
TDPYX,"AB Cap Fund, Inc: AB Multi-Manager Select 2055 Fund; Advisor Class Shares"
TDAPX,"AB Cap Fund, Inc: AB Multi-Manager Select 2055 Fund; Class A Shares"
TDCPX,"AB Cap Fund, Inc: AB Multi-Manager Select 2055 Fund; Class C Shares"
TDIPX,"AB Cap Fund, Inc: AB Multi-Manager Select 2055 Fund; Class I Shares"
TDPKX,"AB Cap Fund, Inc: AB Multi-Manager Select 2055 Fund; Class K Shares"
TDPRX,"AB Cap Fund, Inc: AB Multi-Manager Select 2055 Fund; Class R Shares"
TDPZX,"AB Cap Fund, Inc: AB Multi-Manager Select 2055 Fund; Class Z Shares"
TDAYX,"AB Cap Fund, Inc: AB Multi-Manager Select Retirement Allocation Fund; Advisor Class Shares"
TDAAX,"AB Cap Fund, Inc: AB Multi-Manager Select Retirement Allocation Fund; Class A Shares"
TDACX,"AB Cap Fund, Inc: AB Multi-Manager Select Retirement Allocation Fund; Class C Shares"
TDAIX,"AB Cap Fund, Inc: AB Multi-Manager Select Retirement Allocation Fund; Class I Shares"
TDAKX,"AB Cap Fund, Inc: AB Multi-Manager Select Retirement Allocation Fund; Class K Shares"
TDARX,"AB Cap Fund, Inc: AB Multi-Manager Select Retirement Allocation Fund; Class R Shares"
TDAZX,"AB Cap Fund, Inc: AB Multi-Manager Select Retirement Allocation Fund; Class Z Shares"
AUUYX,"AB Cap Fund, Inc: AB Select US Equity Portfolio; Advisor Class Shares"
AUUAX,"AB Cap Fund, Inc: AB Select US Equity Portfolio; Class A Shares"
AUUCX,"AB Cap Fund, Inc: AB Select US Equity Portfolio; Class C Shares"
AUUIX,"AB Cap Fund, Inc: AB Select US Equity Portfolio; Class I Shares"
AUUKX,"AB Cap Fund, Inc: AB Select US Equity Portfolio; Class K Shares"
AUURX,"AB Cap Fund, Inc: AB Select US Equity Portfolio; Class R Shares"
ASYLX,"AB Cap Fund, Inc: AB Select US Long/Short Portfolio; Advisor Class Shares"
ASLAX,"AB Cap Fund, Inc: AB Select US Long/Short Portfolio; Class A Shares"
ASCLX,"AB Cap Fund, Inc: AB Select US Long/Short Portfolio; Class C Shares"
ASILX,"AB Cap Fund, Inc: AB Select US Long/Short Portfolio; Class I Shares"
ASLKX,"AB Cap Fund, Inc: AB Select US Long/Short Portfolio; Class K Shares"
ASRLX,"AB Cap Fund, Inc: AB Select US Long/Short Portfolio; Class R Shares"
QUAYX,"AB Cap Fund, Inc: AB Small Cap Growth Portfolio; Advisor Class Shares"
QUASX,"AB Cap Fund, Inc: AB Small Cap Growth Portfolio; Class A Shares"
QUABX,"AB Cap Fund, Inc: AB Small Cap Growth Portfolio; Class B Shares"
QUACX,"AB Cap Fund, Inc: AB Small Cap Growth Portfolio; Class C Shares"
QUAIX,"AB Cap Fund, Inc: AB Small Cap Growth Portfolio; Class I Shares"
QUAKX,"AB Cap Fund, Inc: AB Small Cap Growth Portfolio; Class K Shares"
QUARX,"AB Cap Fund, Inc: AB Small Cap Growth Portfolio; Class R Shares"
QUAZX,"AB Cap Fund, Inc: AB Small Cap Growth Portfolio; Class Z Shares"
SCYVX,"AB Cap Fund, Inc: AB Small Cap Value Portfolio; Advisor Class Shares"
SCAVX,"AB Cap Fund, Inc: AB Small Cap Value Portfolio; Class A Shares"
SCCVX,"AB Cap Fund, Inc: AB Small Cap Value Portfolio; Class C Shares"
ADGYX,"AB Core Opportunities Fund, Inc; Advisor Class Shares"
ADGAX,"AB Core Opportunities Fund, Inc; Class A Shares"
ADGBX,"AB Core Opportunities Fund, Inc; Class B Shares"
ADGCX,"AB Core Opportunities Fund, Inc; Class C Shares"
ADGIX,"AB Core Opportunities Fund, Inc; Class I Shares"
ADGKX,"AB Core Opportunities Fund, Inc; Class K Shares"
ADGRX,"AB Core Opportunities Fund, Inc; Class R Shares"
ADGZX,"AB Core Opportunities Fund, Inc; Class Z Shares"
ACISX,AB Corporate Shares: AB Corporate Income Shares
MISHX,AB Corporate Shares: AB Municipal Income Shares
CSHTX,AB Corporate Shares: AB Taxable Multi-Sector Income Shares
CHCLX,"AB Discovery Growth Fund, Inc; Class A Shares"
CHCYX,"AB Discovery Growth Fund, Inc; Class Advisor Shares"
CHCBX,"AB Discovery Growth Fund, Inc; Class B Shares"
CHCCX,"AB Discovery Growth Fund, Inc; Class C Shares"
CHCIX,"AB Discovery Growth Fund, Inc; Class I Shares"
CHCKX,"AB Discovery Growth Fund, Inc; Class K Shares"
CHCRX,"AB Discovery Growth Fund, Inc; Class R Shares"
CHCZX,"AB Discovery Growth Fund, Inc; Class Z Shares"
AUIYX,"AB Equity Income Fund, Inc; Advisor Class Shares"
AUIAX,"AB Equity Income Fund, Inc; Class A Shares"
AUIBX,"AB Equity Income Fund, Inc; Class B Shares"
AUICX,"AB Equity Income Fund, Inc; Class C Shares"
AUIIX,"AB Equity Income Fund, Inc; Class I Shares"
AUIKX,"AB Equity Income Fund, Inc; Class K Shares"
AUIRX,"AB Equity Income Fund, Inc; Class R Shares"
AUIZX,"AB Equity Income Fund, Inc; Class Z Shares"
MYMXX,"AB Fixed-Income Shares, Inc: AB Government Money Market Portfolio; Class AB Shares"
GMOXX,"AB Fixed-Income Shares, Inc: AB Government Money Market Portfolio; Institutional Class Shares"
ANAYX,"AB Global Bond Fund, Inc; Advisor Class Shares"
ANAGX,"AB Global Bond Fund, Inc; Class A Shares"
ANABX,"AB Global Bond Fund, Inc; Class B Shares"
ANACX,"AB Global Bond Fund, Inc; Class C Shares"
ANAIX,"AB Global Bond Fund, Inc; Class I Shares"
ANAKX,"AB Global Bond Fund, Inc; Class K Shares"
ANARX,"AB Global Bond Fund, Inc; Class R Shares"
ANAZX,"AB Global Bond Fund, Inc; Class Z Shares"
ARSYX,"AB Global Real Estate Investment Fund, Inc; Advisor Class Shares"
AREAX,"AB Global Real Estate Investment Fund, Inc; Class A Shares"
AREBX,"AB Global Real Estate Investment Fund, Inc; Class B Shares"
ARECX,"AB Global Real Estate Investment Fund, Inc; Class C Shares"
AEEIX,"AB Global Real Estate Investment Fund, Inc; Class I Shares"
ARRKX,"AB Global Real Estate Investment Fund, Inc; Class K Shares"
ARRRX,"AB Global Real Estate Investment Fund, Inc; Class R Shares"
CBSYX,AB Global Risk Allocation Fund; Advisor Class Shares
CABNX,AB Global Risk Allocation Fund; Class A Shares
CABBX,AB Global Risk Allocation Fund; Class B Shares
CBACX,AB Global Risk Allocation Fund; Class C Shares
CABIX,AB Global Risk Allocation Fund; Class I Shares
CBSKX,AB Global Risk Allocation Fund; Class K Shares
CBSRX,AB Global Risk Allocation Fund; Class R Shares
AEYXX,AB Government Exchange Reserves; Advisor Class Shares
AEAXX,AB Government Exchange Reserves; Class A Shares
AEBXX,AB Government Exchange Reserves; Class B Shares
AECXX,AB Government Exchange Reserves; Class C Shares
AIEXX,AB Government Exchange Reserves; Class I Shares
AEKXX,AB Government Exchange Reserves; Class K Shares
AREXX,AB Government Exchange Reserves; Class R Shares
CBBYX,"AB Growth & Income Fund, Inc; Advisor Class Shares"
CABDX,"AB Growth & Income Fund, Inc; Class A Shares"
CBBDX,"AB Growth & Income Fund, Inc; Class B Shares"
CBBCX,"AB Growth & Income Fund, Inc; Class C Shares"
CBBIX,"AB Growth & Income Fund, Inc; Class I Shares"
CBBKX,"AB Growth & Income Fund, Inc; Class K Shares"
CBBRX,"AB Growth & Income Fund, Inc; Class R Shares"
CBBZX,"AB Growth & Income Fund, Inc; Class Z Shares"
AGDYX,"AB High Income Fund, Inc; Advisor Class Shares"
AGDAX,"AB High Income Fund, Inc; Class A Shares"
AGDBX,"AB High Income Fund, Inc; Class B Shares"
AGDCX,"AB High Income Fund, Inc; Class C Shares"
AGDIX,"AB High Income Fund, Inc; Class I Shares"
AGDKX,"AB High Income Fund, Inc; Class K Shares"
AGDRX,"AB High Income Fund, Inc; Class R Shares"
AGDZX,"AB High Income Fund, Inc; Class Z Shares"
ARIIX,"AB Institutional Funds, Inc: AB Global Real Estate Invest Fund II; Class I Share"
AWPYX,"AB International Growth Fund, Inc; Advisor Class Shares"
AWPAX,"AB International Growth Fund, Inc; Class A Shares"
AWPBX,"AB International Growth Fund, Inc; Class B Shares"
AWPCX,"AB International Growth Fund, Inc; Class C Shares"
AWPIX,"AB International Growth Fund, Inc; Class I Shares"
AWPKX,"AB International Growth Fund, Inc; Class K Shares"
AWPRX,"AB International Growth Fund, Inc; Class R Shares"
APGYX,"AB Large Cap Growth Fund, Inc; Advisor Class Shares"
APGAX,"AB Large Cap Growth Fund, Inc; Class A Shares"
APGBX,"AB Large Cap Growth Fund, Inc; Class B Shares"
APGCX,"AB Large Cap Growth Fund, Inc; Class C Shares"
ALLIX,"AB Large Cap Growth Fund, Inc; Class I Shares"
ALCKX,"AB Large Cap Growth Fund, Inc; Class K Shares"
ABPRX,"AB Large Cap Growth Fund, Inc; Class R Shares"
APGZX,"AB Large Cap Growth Fund, Inc; Class Z Shares"
AAZAX,AB Municipal Income Fund II: AB Arizona Portfolio; Class A Shares
AAZBX,AB Municipal Income Fund II: AB Arizona Portfolio; Class B Shares
AAZCX,AB Municipal Income Fund II: AB Arizona Portfolio; Class C Shares
AMAYX,AB Municipal Income Fund II: AB Massachusetts Portfolio; Advisor Class Shares
AMAAX,AB Municipal Income Fund II: AB Massachusetts Portfolio; Class A Shares
AMABX,AB Municipal Income Fund II: AB Massachusetts Portfolio; Class B Shares
AMACX,AB Municipal Income Fund II: AB Massachusetts Portfolio; Class C Shares
AMIAX,AB Municipal Income Fund II: AB Michigan Portfolio; Class A Shares
AMIBX,AB Municipal Income Fund II: AB Michigan Portfolio; Class B Shares
AMICX,AB Municipal Income Fund II: AB Michigan Portfolio; Class C Shares
AMNAX,AB Municipal Income Fund II: AB Minnesota Portfolio; Class A Shares
AMNBX,AB Municipal Income Fund II: AB Minnesota Portfolio; Class B Shares
AMNCX,AB Municipal Income Fund II: AB Minnesota Portfolio; Class C Shares
ANJAX,AB Municipal Income Fund II: AB New Jersey Portfolio; Class A Shares
ANJBX,AB Municipal Income Fund II: AB New Jersey Portfolio; Class B Shares
ANJCX,AB Municipal Income Fund II: AB New Jersey Portfolio; Class C Shares
AOHAX,AB Municipal Income Fund II: AB Ohio Portfolio; Class A Shares
AOHBX,AB Municipal Income Fund II: AB Ohio Portfolio; Class B Shares
AOHCX,AB Municipal Income Fund II: AB Ohio Portfolio; Class C Shares
APAAX,AB Municipal Income Fund II: AB Pennsylvania Portfolio; Class A Shares
APABX,AB Municipal Income Fund II: AB Pennsylvania Portfolio; Class B Shares
APACX,AB Municipal Income Fund II: AB Pennsylvania Portfolio; Class C Shares
AVAYX,AB Municipal Income Fund II: AB Virginia Portfolio; Advisor Class Shares
AVAAX,AB Municipal Income Fund II: AB Virginia Portfolio; Class A Shares
AVABX,AB Municipal Income Fund II: AB Virginia Portfolio; Class B Shares
AVACX,AB Municipal Income Fund II: AB Virginia Portfolio; Class C Shares
ALCVX,"AB Municipal Income Fund, Inc: AB California Portfolio; Advisor Class Shares"
ALCAX,"AB Municipal Income Fund, Inc: AB California Portfolio; Class A Shares"
ALCBX,"AB Municipal Income Fund, Inc: AB California Portfolio; Class B Shares"
ACACX,"AB Municipal Income Fund, Inc: AB California Portfolio; Class C Shares"
ABTYX,"AB Municipal Income Fund, Inc: AB High Income Municipal Portfolio; Advisor Class Shares"
ABTHX,"AB Municipal Income Fund, Inc: AB High Income Municipal Portfolio; Class A Shares"
ABTFX,"AB Municipal Income Fund, Inc: AB High Income Municipal Portfolio; Class C Shares"
ALTVX,"AB Municipal Income Fund, Inc: AB National Portfolio; Advisor Class Shares"
ALTHX,"AB Municipal Income Fund, Inc: AB National Portfolio; Class A Shares"
ALTBX,"AB Municipal Income Fund, Inc: AB National Portfolio; Class B Shares"
ALNCX,"AB Municipal Income Fund, Inc: AB National Portfolio; Class C Shares"
ALNVX,"AB Municipal Income Fund, Inc: AB New York Portfolio; Advisor Class Shares"
ALNYX,"AB Municipal Income Fund, Inc: AB New York Portfolio; Class A Shares"
ALNBX,"AB Municipal Income Fund, Inc: AB New York Portfolio; Class B Shares"
ANYCX,"AB Municipal Income Fund, Inc: AB New York Portfolio; Class C Shares"
ABWYX,AB Portfolios: AB Balanced Wealth Strategy; Advisor Class Shares
ABWAX,AB Portfolios: AB Balanced Wealth Strategy; Class A Shares
ABWBX,AB Portfolios: AB Balanced Wealth Strategy; Class B Shares
